Term,Document_Frequency,Category,Reason
mess,110,Borderline_Excluded,'בלגן כלכלי' מול בלגן פיזי
flood,106,Borderline_Excluded,כנ״ל
veteran,103,Borderline_Excluded,"תיאור סטטוס/תעסוקה, לא מצוקה בעצמו"
regret,100,Borderline_Excluded,רגש כללי
weight,100,Borderline_Excluded,'משקל החוב' ניב מול משקל פיזי
sink,95,Borderline_Excluded,כיור (הקשר שיפוצים) מול 'שוקע בחובות'
lack,93,Borderline_Excluded,'lack of funds' סביר אבל כללי מדי לבד
dentist,87,Borderline_Excluded,כנ״ל
payday,86,Borderline_Excluded,"מציין סוג הלוואה (payday loan), לא מתאר את מצב הלווה"
downsize,84,Borderline_Excluded,צמצום משרה (מצוקה) מול צמצום בית (בחירה נייטרלית)
delay,83,Borderline_Excluded,עיכוב תשלום אפשרי אבל כללי מדי
quit,79,Borderline_Excluded,"עזיבת עבודה יכולה להיות מרצון, לא מצוקה"
stretch,79,Borderline_Excluded,'למתוח תקציב' ניב מול פועל כללי
drain,77,Borderline_Excluded,'ניקוז חסכונות' מול ניקוז פיזי (הרבה אוצר מילים של שיפוצים)
upside,77,Borderline_Excluded,"'upside down' על הלוואה, אבל המילה הבודדת מעורפלת מדי"
coverage,75,Borderline_Excluded,מונח ביטוח כללי
erase,71,Borderline_Excluded,"כנ״ל, קונוטציה חיובית (סילוק חוב)"
decline,70,Borderline_Excluded,ירידה בהכנסה מול דחיית הצעה וכו'
shoulder,70,Borderline_Excluded,'לשאת בנטל' ניב מול איבר גוף
chapter,68,Borderline_Excluded,פרק בפשיטת רגל (Chapter 7/13) מול פרק בספר/בחיים
stave,68,Borderline_Excluded,'stave off' נדיר ולא ברור מספיק
worse,63,Borderline_Excluded,כנ״ל
battle,60,Borderline_Excluded,"'battle debt' ניב אפשרי, אבל שימוש כללי מדי"
horrible,59,Borderline_Excluded,שם תואר שלילי כללי מדי
claim,58,Borderline_Excluded,תביעת ביטוח - נייטרלי/כללי
worst,56,Borderline_Excluded,סופרלטיב כללי
deny,55,Borderline_Excluded,"נדחה על משהו - אשראי, תביעה, בקשה - כללי מדי"
ridiculously,55,Borderline_Excluded,כנ״ל
crash,54,Borderline_Excluded,תאונת רכב (מצוקה) מול קריסת שוק מול שימוש כללי
pressure,53,Borderline_Excluded,לחץ כלכלי מול לחץ כללי (עבודה וכו')
fear,52,Borderline_Excluded,"רגש כללי, לא בהכרח פיננסי"
medical,4035,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
emergency,1498,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
unexpected,1150,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
surgery,592,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
asap,373,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
burden,350,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
struggle,329,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
unemployed,286,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
divorce,285,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
delinquent,268,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
delinquency,267,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
sick,258,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
bankruptcy,230,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
recession,220,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
funeral,174,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
ill,169,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
collection,166,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
unforeseen,148,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
unemployment,145,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
destroy,141,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
hardship,135,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
accident,133,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
illness,129,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
layoff,127,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
death,122,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
barely,121,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
crisis,117,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
overwhelm,112,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
foreclosure,102,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
downturn,98,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
stressful,98,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
disability,92,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
unforseen,92,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
suffer,91,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
cancer,87,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
desperately,84,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
deplete,80,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
ruin,79,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
juggle,73,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
unexpectedly,68,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
settlement,66,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
trap,63,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
crunch,60,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
foreclose,58,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
unpaid,58,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
lien,56,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
disable,52,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
drown,51,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
overdue,51,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
strain,51,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
desperate,50,Distress,נכלל במילון המצוקה הסופי (LC_Distress_Dictionary.csv)
