feature,description,var_type,pandas_dtype,missing_pct,enters_model,notes
id,Unique LendingClub listing ID for the loan,identifier,int64,0.0,no,Primary key; EXCLUDE_COLS in v2 — identifier only
initial_list_status,Initial listing status of the loan: w (whole) / f (fractional),binary categorical,object,0.0,not yet,Restored 2026-07-13; not in 03's one-hot list yet
inq_last_6mths,Credit inquiries in the last 6 months (excl. auto and mortgage),count,float64,0.0,yes,"Numeric feature, passed through as-is"
int_rate,Interest rate on the loan (%),continuous (%),float64,0.0,yes,"Numeric feature, passed through as-is"
is_default,"Target: 1 = Charged Off / Default, 0 = Fully Paid",binary (target),int64,0.0,no,"Target variable, not a feature"
issue_d,Month the loan was funded,date,object,0.0,no,Defines the walk-forward folds; never a feature
loan_amnt,Loan amount applied for by the borrower,continuous (amount),float64,0.0,yes,log1p-transformed (capped at q0.995) in 03
mo_sin_old_il_acct,Months since the oldest installment account was opened,count (months),float64,29.78,yes,"Numeric feature, passed through as-is"
mo_sin_old_rev_tl_op,Months since the oldest revolving account was opened,count (months),float64,27.0,yes,"Numeric feature, passed through as-is"
mo_sin_rcnt_rev_tl_op,Months since the most recent revolving account was opened,count (months),float64,27.0,yes,"Numeric feature, passed through as-is"
mo_sin_rcnt_tl,Months since the most recent account of any type was opened,count (months),float64,27.0,yes,"Numeric feature, passed through as-is"
mort_acc,Number of mortgage accounts,count,float64,17.95,yes,"Numeric feature, passed through as-is"
mths_since_last_delinq,Months since the borrower's last delinquency; 999 = never delinquent,"count (months, 999=never)",float64,0.0,yes,NaN filled with 999 in 02
mths_since_last_major_derog,Months since most recent 90-day-or-worse rating; 999 = never,"count (months, 999=never)",float64,0.0,yes,NaN filled with 999 in 02
mths_since_last_record,Months since the last public record; 999 = no public record,"count (months, 999=never)",float64,0.0,yes,NaN filled with 999 in 02
mths_since_recent_bc,Months since most recent bankcard account was opened; 999 = never,"count (months, 999=never)",float64,0.0,yes,NaN filled with 999 in 02
mths_since_recent_bc_dlq,Months since most recent bankcard delinquency; 999 = never,"count (months, 999=never)",float64,0.0,yes,NaN filled with 999 in 02
mths_since_recent_inq,Months since most recent credit inquiry; 999 = never,"count (months, 999=never)",float64,0.0,yes,NaN filled with 999 in 02
mths_since_recent_revol_delinq,Months since most recent revolving delinquency; 999 = never,"count (months, 999=never)",float64,0.0,yes,NaN filled with 999 in 02
num_accts_ever_120_pd,Number of accounts ever 120+ days past due,count,float64,27.0,yes,"Numeric feature, passed through as-is"
num_actv_bc_tl,Number of currently active bankcard accounts,count,float64,27.0,yes,"Numeric feature, passed through as-is"
num_actv_rev_tl,Number of currently active revolving trades,count,float64,27.0,yes,"Numeric feature, passed through as-is"
num_bc_sats,Number of satisfactory (in good standing) bankcard accounts,count,float64,21.75,yes,"Numeric feature, passed through as-is"
num_bc_tl,Total number of bankcard accounts,count,float64,27.0,yes,"Numeric feature, passed through as-is"
num_il_tl,Total number of installment accounts,count,float64,27.0,yes,"Numeric feature, passed through as-is"
num_op_rev_tl,Number of open revolving accounts,count,float64,27.0,yes,"Numeric feature, passed through as-is"
num_rev_accts,Total number of revolving accounts,count,float64,27.0,yes,"Numeric feature, passed through as-is"
num_tl_120dpd_2m,Accounts currently 120 days past due (updated in past 2 months),count,float64,27.12,yes,"Numeric feature, passed through as-is"
num_tl_30dpd,Accounts currently 30 days past due (updated in past 2 months),count,float64,27.0,yes,"Numeric feature, passed through as-is"
num_tl_90g_dpd_24m,Accounts 90+ days past due in the last 24 months,count,float64,27.0,yes,"Numeric feature, passed through as-is"
num_tl_op_past_12m,Accounts opened in the past 12 months,count,float64,27.0,yes,"Numeric feature, passed through as-is"
open_acc,Number of open credit lines in the borrower's credit file,count,float64,0.0,yes,"Numeric feature, passed through as-is"
pct_tl_nvr_dlq,Percent of trades never delinquent (%),continuous (%),float64,27.07,yes,"Numeric feature, passed through as-is"
percent_bc_gt_75,Percent of bankcard accounts with utilization above 75% (%),continuous (%),float64,18.63,yes,"Numeric feature, passed through as-is"
pub_rec,Number of derogatory public records,count,float64,0.0,yes,"Numeric feature, passed through as-is"
pub_rec_bankruptcies,Number of public-record bankruptcies,count,float64,0.0,yes,"Numeric feature, passed through as-is"
purpose,"Borrower-selected loan purpose (debt_consolidation, credit_card, ...; small_business excluded from study)",categorical (nominal),object,0.0,yes,One-hot encoded in 03
revol_bal,Total credit revolving balance,continuous (amount),float64,0.0,yes,log1p-transformed (capped at q0.995) in 03
revol_util,Revolving line utilization: balance relative to available revolving credit (%),continuous (%),float64,0.07,yes,"Numeric feature, passed through as-is"
sub_grade,"LendingClub assigned risk sub-grade, A1 to G5",ordinal (35 levels),object,0.0,via encoding,Raw string excluded in v2; enters as ordinal grade_ord / sub_grade_ord
tax_liens,Number of tax liens,count,float64,0.0,yes,"Numeric feature, passed through as-is"
term,Loan repayment term: 36 or 60 months,ordinal (2 levels),object,0.0,yes,Converted to numeric (36/60) in 03
title,Loan title supplied by the borrower,free text,object,0.01,via text pipeline,Raw column excluded in v2; enters via cleaned-text stats + TF-IDF (Structured+Text arm only)
tot_coll_amt,Total collection amounts ever owed,continuous (amount),float64,27.0,yes,"Numeric feature, passed through as-is"
tot_cur_bal,Total current balance of all accounts,continuous (amount),float64,27.0,yes,"Numeric feature, passed through as-is"
total_acc,Total number of credit lines ever in the credit file,count,float64,0.0,yes,"Numeric feature, passed through as-is"
total_bal_ex_mort,Total credit balance excluding mortgage,continuous (amount),float64,17.95,yes,"Numeric feature, passed through as-is"
total_bc_limit,Total bankcard high credit / credit limit,continuous (amount),float64,17.95,yes,log1p-transformed (capped at q0.995) in 03
total_il_high_credit_limit,Total installment high credit / credit limit,continuous (amount),float64,27.0,yes,"Numeric feature, passed through as-is"
total_rev_hi_lim,Total revolving high credit / credit limit,continuous (amount),float64,27.0,yes,log1p-transformed (capped at q0.995) in 03
verification_status,Income verification: Verified / Source Verified / Not Verified,categorical (nominal),object,0.0,yes,One-hot encoded in 03
zip_code,First 3 digits of the borrower's ZIP code,categorical (high cardinality),object,0.0,no,EXCLUDE_COLS in v2 (high cardinality); zip3 derived in 03 but not modeled
fico_midpoint,Engineered in 02: mean of fico_range_low and fico_range_high — FICO score at origination,continuous (score),float64,0.0,yes,Engineered in 02
