token,category,is_distress,rationale
excellent,NEUTRAL_BENIGN,0,positive sentiment word
know,NEUTRAL_BENIGN,0,conversational filler verb
late payment,LIQUIDITY_SHORTAGE,1,past due indicates cash-flow deficit
miss,LIQUIDITY_SHORTAGE,1,missed payments signal shortfall
use pay,NEUTRAL_BENIGN,0,generic statement of fund use
employ,NEUTRAL_BENIGN,0,employment status reference
appreciate,NEUTRAL_BENIGN,0,polite conversational sentiment
college,NEUTRAL_BENIGN,0,planned education expense
pay month,NEUTRAL_BENIGN,0,routine monthly payment logistics
personal,NEUTRAL_BENIGN,0,generic loan type descriptor
use fund,NEUTRAL_BENIGN,0,routine statement of proceeds use
consolidate debt,DEBT_PRESSURE,1,explicit multiple debt burden consolidation
allow,NEUTRAL_BENIGN,0,generic conversational verb
ask,NEUTRAL_BENIGN,0,routine request language
minimum,DEBT_PRESSURE,1,minimum payments suggest revolving debt trap
saving,NEUTRAL_BENIGN,0,positive financial reserve reference
life,NEUTRAL_BENIGN,0,general conversational prose
secure,NEUTRAL_BENIGN,0,routine collateral or stability wording
come,NEUTRAL_BENIGN,0,generic conversational verb
way,NEUTRAL_BENIGN,0,generic conversational noun
business,NEUTRAL_BENIGN,0,routine business purpose mention
feel,NEUTRAL_BENIGN,0,conversational sentiment verb
position,NEUTRAL_BENIGN,0,generic situational descriptor
finance,NEUTRAL_BENIGN,0,generic financing term
insurance,NEUTRAL_BENIGN,0,routine expense category
request,NEUTRAL_BENIGN,0,routine loan application language
total,NEUTRAL_BENIGN,0,generic aggregate amount reference
don,NEUTRAL_BENIGN,0,tokenization artifact of contraction
receive,NEUTRAL_BENIGN,0,generic conversational verb
past,NEUTRAL_BENIGN,0,ambiguous temporal reference
close,NEUTRAL_BENIGN,0,routine account or timing language
recently,NEUTRAL_BENIGN,0,generic temporal qualifier
high credit,DEBT_PRESSURE,1,high balances or rates signal debt load
little,NEUTRAL_BENIGN,0,Generic quantifier in conversational prose
really,NEUTRAL_BENIGN,0,Generic intensifier with no risk signal
cash,NEUTRAL_BENIGN,0,Ambiguous financial noun without distress context
goal,NEUTRAL_BENIGN,0,Planning language reflecting positive intent
higher,NEUTRAL_BENIGN,0,Comparative adjective lacking specific risk context
student,NEUTRAL_BENIGN,0,Refers to routine education loan context
job year,NEUTRAL_BENIGN,0,Tenure statement indicating employment stability
increase,NEUTRAL_BENIGN,0,Ambiguous change term without direction of risk
debt free,NEUTRAL_BENIGN,0,Aspirational payoff goal not current distress
include,NEUTRAL_BENIGN,0,Routine listing verb in prose
medical,SHOCK_EMERGENCY,1,Signals medical expense shock
invest,NEUTRAL_BENIGN,0,Discretionary investment purpose not distress
leave,NEUTRAL_BENIGN,0,Ambiguous verb without distress context
day,NEUTRAL_BENIGN,0,Temporal reference in routine prose
tax,NEUTRAL_BENIGN,0,Routine financial obligation reference
better,NEUTRAL_BENIGN,0,Positive comparative sentiment
lower rate,NEUTRAL_BENIGN,0,Routine rate-improvement refinancing rationale
miss payment,LIQUIDITY_SHORTAGE,1,Explicit delinquency and cash-flow deficit
plan pay,NEUTRAL_BENIGN,0,Repayment planning language
small,NEUTRAL_BENIGN,0,Size descriptor without risk signal
cost,NEUTRAL_BENIGN,0,Generic expense reference
investor,NEUTRAL_BENIGN,0,Platform lender reference in loan logistics
investment,NEUTRAL_BENIGN,0,Discretionary purpose not distress
responsible,NEUTRAL_BENIGN,0,Positive borrower self-characterization
end,NEUTRAL_BENIGN,0,Temporal boundary word in prose
ago,NEUTRAL_BENIGN,0,Temporal reference in narrative
employment,NEUTRAL_BENIGN,0,Routine income source description
job stable,NEUTRAL_BENIGN,0,Stable employment positive signal
fix,NEUTRAL_BENIGN,0,Ambiguous repair verb without urgency
purpose,NEUTRAL_BENIGN,0,Routine loan application logistics
card pay,DEBT_PRESSURE,1,Credit card balance repayment burden
pay high,DEBT_PRESSURE,1,Servicing high-interest balances
consider,NEUTRAL_BENIGN,0,Deliberative conversational verb
apr,NEUTRAL_BENIGN,0,Standard rate terminology in loan logistics
term,NEUTRAL_BENIGN,0,Loan structure logistics term
future,NEUTRAL_BENIGN,0,Forward-looking planning language
old,NEUTRAL_BENIGN,0,Age or vintage descriptor
monthly budget,NEUTRAL_BENIGN,0,Routine budgeting language
wed,NEUTRAL_BENIGN,0,Planned life event wedding financing
additional,NEUTRAL_BENIGN,0,Quantity modifier without risk signal
continue,NEUTRAL_BENIGN,0,Continuity verb in prose
pay year,NEUTRAL_BENIGN,0,Repayment timeline reference
good credit,NEUTRAL_BENIGN,0,Positive creditworthiness signal
low,NEUTRAL_BENIGN,0,Ambiguous magnitude descriptor
salary,NEUTRAL_BENIGN,0,Stable income source reference
cover,LIQUIDITY_SHORTAGE,1,Implies covering shortfall in expenses
utility,LIQUIDITY_SHORTAGE,1,Basic living bill needing funding
debt consolidation,DEBT_PRESSURE,1,Multiple debts consolidated indicating load
extra,NEUTRAL_BENIGN,0,Quantity modifier without risk signal
hope,NEUTRAL_BENIGN,0,Optimistic conversational sentiment
payoff,NEUTRAL_BENIGN,0,routine loan settlement logistics
problem,NEUTRAL_BENIGN,0,generic conversational term
employer,NEUTRAL_BENIGN,0,stable employment reference
thing,NEUTRAL_BENIGN,0,generic filler word
child,NEUTRAL_BENIGN,0,routine family mention
debt pay,DEBT_PRESSURE,1,indicates servicing existing debt load
graduate,NEUTRAL_BENIGN,0,planned life event
answer,NEUTRAL_BENIGN,0,general conversational prose
reason,NEUTRAL_BENIGN,0,generic explanatory term
remain,NEUTRAL_BENIGN,0,neutral descriptive verb
week,NEUTRAL_BENIGN,0,routine time reference
company year,NEUTRAL_BENIGN,0,employment tenure reference
state,NEUTRAL_BENIGN,0,geographic or descriptive term
card balance,DEBT_PRESSURE,1,revolving credit balance outstanding
long,NEUTRAL_BENIGN,0,generic descriptor
order,NEUTRAL_BENIGN,0,generic prose term
past year,NEUTRAL_BENIGN,0,neutral time reference
possible,NEUTRAL_BENIGN,0,generic modal descriptor
reduce,NEUTRAL_BENIGN,0,planned debt reduction intent
credit history,NEUTRAL_BENIGN,0,routine credit profile reference
excellent credit,NEUTRAL_BENIGN,0,positive creditworthiness signal
phone,NEUTRAL_BENIGN,0,routine expense or contact item
spend,NEUTRAL_BENIGN,0,generic spending reference
raise,NEUTRAL_BENIGN,0,positive income event
hard,NEUTRAL_BENIGN,0,ambiguous general difficulty descriptor
owe,DEBT_PRESSURE,1,explicit outstanding obligation
repair,SHOCK_EMERGENCY,1,urgent unexpected repair need
soon,NEUTRAL_BENIGN,0,generic timing word
marry,NEUTRAL_BENIGN,0,planned life event
opportunity,NEUTRAL_BENIGN,0,positive sentiment term
repay,NEUTRAL_BENIGN,0,routine repayment intent
single,NEUTRAL_BENIGN,0,demographic descriptor
use money,NEUTRAL_BENIGN,0,routine fund usage statement
let,NEUTRAL_BENIGN,0,generic filler verb
line,NEUTRAL_BENIGN,0,credit line logistics reference
think,NEUTRAL_BENIGN,0,conversational prose verb
provide,NEUTRAL_BENIGN,0,generic verb
steady,NEUTRAL_BENIGN,0,stable employment or income signal
year ago,NEUTRAL_BENIGN,0,neutral time reference
improvement,NEUTRAL_BENIGN,0,positive planned upgrade
food,LIQUIDITY_SHORTAGE,1,basic living expense coverage need
payment pay,DEBT_PRESSURE,1,servicing multiple monthly obligations
report,NEUTRAL_BENIGN,0,credit report logistics
husband,NEUTRAL_BENIGN,0,routine household mention
offer,NEUTRAL_BENIGN,0,routine loan logistics
card payment,DEBT_PRESSURE,1,revolving credit obligation burden
far,NEUTRAL_BENIGN,0,generic descriptor
build,NEUTRAL_BENIGN,0,positive credit building intent
sell,NEUTRAL_BENIGN,0,routine asset transaction
use consolidate,DEBT_PRESSURE,1,consolidating multiple existing debts
right,NEUTRAL_BENIGN,0,generic conversational filler
advance,HIGH_RISK_REFINANCING,1,suggests payday cash advance borrowing
borrow,NEUTRAL_BENIGN,0,generic lending verb
payment credit,DEBT_PRESSURE,1,references credit obligation payments
monthly expense,LIQUIDITY_SHORTAGE,1,recurring living cost pressure
say,NEUTRAL_BENIGN,0,conversational prose
charge,DEBT_PRESSURE,1,implies credit card charges accruing
set,NEUTRAL_BENIGN,0,routine neutral verb
check,NEUTRAL_BENIGN,0,routine logistics term
finish,NEUTRAL_BENIGN,0,neutral completion term
revolve,DEBT_PRESSURE,1,revolving balance carrying debt
situation,NEUTRAL_BENIGN,0,vague context word
hello,NEUTRAL_BENIGN,0,greeting prose
market,NEUTRAL_BENIGN,0,general economic noun
apply,NEUTRAL_BENIGN,0,routine loan application logistics
lot,NEUTRAL_BENIGN,0,generic quantifier
change,NEUTRAL_BENIGN,0,neutral general term
service,NEUTRAL_BENIGN,0,routine servicing term
place,NEUTRAL_BENIGN,0,generic location noun
lender,NEUTRAL_BENIGN,0,routine loan participant
early,NEUTRAL_BENIGN,0,neutral timing word
career,NEUTRAL_BENIGN,0,stable employment reference
support,NEUTRAL_BENIGN,0,general positive term
vehicle,NEUTRAL_BENIGN,0,routine asset mention
able pay,NEUTRAL_BENIGN,0,positive repayment capacity
fund pay,NEUTRAL_BENIGN,0,routine use of funds
faster,NEUTRAL_BENIGN,0,neutral speed descriptor
instead,NEUTRAL_BENIGN,0,conversational connector
care,NEUTRAL_BENIGN,0,ambiguous general term
payment month,NEUTRAL_BENIGN,0,routine payment schedule
rid,DEBT_PRESSURE,1,desire to eliminate debt burden
auto,NEUTRAL_BENIGN,0,routine vehicle reference
car payment,NEUTRAL_BENIGN,0,routine installment obligation
industry,NEUTRAL_BENIGN,0,employment sector reference
large,NEUTRAL_BENIGN,0,generic size descriptor
money pay,NEUTRAL_BENIGN,0,routine payment phrasing
gas,LIQUIDITY_SHORTAGE,1,basic living expense strain
process,NEUTRAL_BENIGN,0,routine application logistics
refinance,NEUTRAL_BENIGN,0,generic refinancing without predatory signal
half,NEUTRAL_BENIGN,0,generic proportion word
approximately,NEUTRAL_BENIGN,0,generic estimation word
information,NEUTRAL_BENIGN,0,routine disclosure term
home improvement,NEUTRAL_BENIGN,0,planned discretionary project
people,NEUTRAL_BENIGN,0,generic conversational noun
fee,DEBT_PRESSURE,1,added borrowing costs accruing
feel free,NEUTRAL_BENIGN,0,polite conversational phrase
list,NEUTRAL_BENIGN,0,routine listing logistics
expect,NEUTRAL_BENIGN,0,neutral forward-looking word
card company,DEBT_PRESSURE,1,credit card issuer debt context
default,DEBT_PRESSURE,1,Signals failure to meet debt obligations
help pay,LIQUIDITY_SHORTAGE,1,Requesting assistance covering payments
pay minimum,DEBT_PRESSURE,1,Minimum-only payments indicate debt spiral
complete,NEUTRAL_BENIGN,0,Routine completion language
degree,NEUTRAL_BENIGN,0,Education reference
manager,NEUTRAL_BENIGN,0,Stable employment title
chase,NEUTRAL_BENIGN,0,Bank or lender name
minimum payment,DEBT_PRESSURE,1,Minimum payments signal heavy revolving debt
run,NEUTRAL_BENIGN,0,Generic conversational verb
couple,NEUTRAL_BENIGN,0,Generic quantity or family reference
pay monthly,NEUTRAL_BENIGN,0,Routine repayment logistics
away,NEUTRAL_BENIGN,0,Generic prose
person,NEUTRAL_BENIGN,0,Generic reference
plus,NEUTRAL_BENIGN,0,Generic connector
project,NEUTRAL_BENIGN,0,Planned undertaking
rate credit,DEBT_PRESSURE,1,References credit card interest rates
save money,NEUTRAL_BENIGN,0,Positive financial intent
use credit,DEBT_PRESSURE,1,Reliance on revolving credit
intend,NEUTRAL_BENIGN,0,Statement of plan
note,NEUTRAL_BENIGN,0,Loan listing logistics
second,NEUTRAL_BENIGN,0,Ordinal descriptor
credit report,NEUTRAL_BENIGN,0,Routine credit documentation reference
grow,NEUTRAL_BENIGN,0,Positive growth language
quickly,NEUTRAL_BENIGN,0,Generic adverb
rest,NEUTRAL_BENIGN,0,Generic remainder reference
currently pay,DEBT_PRESSURE,1,Describes existing ongoing debt servicing
mean,NEUTRAL_BENIGN,0,Generic prose verb
major,NEUTRAL_BENIGN,0,Generic intensifier
best,NEUTRAL_BENIGN,0,Positive sentiment
emergency,SHOCK_EMERGENCY,1,Explicit unexpected urgent event
love,NEUTRAL_BENIGN,0,Positive sentiment
parent,NEUTRAL_BENIGN,0,Family reference
sure,NEUTRAL_BENIGN,0,Confidence filler word
afford,LIQUIDITY_SHORTAGE,1,Concerns ability to cover expenses
forward,NEUTRAL_BENIGN,0,Generic prose
year pay,NEUTRAL_BENIGN,0,Routine payment timeframe
bonus,NEUTRAL_BENIGN,0,Positive income event
financially,NEUTRAL_BENIGN,0,General financial descriptor
issue,NEUTRAL_BENIGN,0,Vague problem reference
bring,NEUTRAL_BENIGN,0,Generic verb
eliminate,NEUTRAL_BENIGN,0,Debt payoff intent stated positively
high rate,HIGH_RISK_REFINANCING,1,Refinancing high-interest borrowing
manage,NEUTRAL_BENIGN,0,Control or supervision language
value,NEUTRAL_BENIGN,0,Generic valuation term
year old,NEUTRAL_BENIGN,0,Age descriptor
employee,NEUTRAL_BENIGN,0,Stable employment reference
short,LIQUIDITY_SHORTAGE,1,Being short on cash
follow,NEUTRAL_BENIGN,0,Generic verb
hold,NEUTRAL_BENIGN,0,Generic verb
fully,NEUTRAL_BENIGN,0,Generic adverb
net,NEUTRAL_BENIGN,0,Generic financial descriptor in routine prose
believe,NEUTRAL_BENIGN,0,Conversational sentiment verb
daughter,NEUTRAL_BENIGN,0,Family reference in general narrative
monthly income,NEUTRAL_BENIGN,0,Routine income disclosure
property,NEUTRAL_BENIGN,0,Asset description not distress
recent,NEUTRAL_BENIGN,0,Temporal qualifier without distress
begin,NEUTRAL_BENIGN,0,Generic action verb
internet,NEUTRAL_BENIGN,0,Routine service or utility mention
look consolidate,DEBT_PRESSURE,1,Seeking consolidation implies multiple debt balances
risk,NEUTRAL_BENIGN,0,Abstract term without specific distress signal
dollar,NEUTRAL_BENIGN,0,Generic currency unit
son,NEUTRAL_BENIGN,0,Family reference in general narrative
actually,NEUTRAL_BENIGN,0,Conversational filler adverb
addition,NEUTRAL_BENIGN,0,Neutral connective prose
combine,DEBT_PRESSURE,1,Combining balances signals multiple obligations
cut,NEUTRAL_BENIGN,0,Ambiguous verb often budget trimming
decide,NEUTRAL_BENIGN,0,Neutral decision verb
economy,NEUTRAL_BENIGN,0,Macro context not personal distress
base,NEUTRAL_BENIGN,0,Base salary or baseline reference
equity,NEUTRAL_BENIGN,0,Asset value reference
year add,NEUTRAL_BENIGN,0,Temporal phrasing without distress
free ask,NEUTRAL_BENIGN,0,Conversational invitation to ask questions
member,NEUTRAL_BENIGN,0,Household or organization membership reference
retirement,NEUTRAL_BENIGN,0,Planned life event or account
security,NEUTRAL_BENIGN,0,Job security or collateral reference
bite,NEUTRAL_BENIGN,0,Colloquial expression ambiguous meaning
fund use,NEUTRAL_BENIGN,0,Routine loan purpose statement
open,NEUTRAL_BENIGN,0,Generic account status verb
education,NEUTRAL_BENIGN,0,Planned expense category
extremely,NEUTRAL_BENIGN,0,Intensifier without inherent distress
lose,SHOCK_EMERGENCY,1,Suggests job or income loss event
period,NEUTRAL_BENIGN,0,Time span reference
track,NEUTRAL_BENIGN,0,On-track progress phrasing
earn,NEUTRAL_BENIGN,0,Income earning reference
hop,NEUTRAL_BENIGN,0,Truncated hope conversational sentiment
stay,NEUTRAL_BENIGN,0,Neutral persistence verb
completely,NEUTRAL_BENIGN,0,Intensifier adverb
field,NEUTRAL_BENIGN,0,Occupation or industry reference
obligation,DEBT_PRESSURE,1,Explicit debt obligation burden
require,NEUTRAL_BENIGN,0,Generic necessity verb
sooner,NEUTRAL_BENIGN,0,Timing preference wording
try pay,LIQUIDITY_SHORTAGE,1,Struggling attempt to make payments
easy,NEUTRAL_BENIGN,0,Positive sentiment descriptor
high rat,HIGH_RISK_REFINANCING,1,High rate debt targeted for payoff
sale,NEUTRAL_BENIGN,0,Asset sale or transaction reference
timely,NEUTRAL_BENIGN,0,Positive on-time payment sentiment
contract,NEUTRAL_BENIGN,0,Routine agreement or employment terms
date,NEUTRAL_BENIGN,0,Calendar reference in logistics
happy,NEUTRAL_BENIGN,0,Positive sentiment word
household,NEUTRAL_BENIGN,0,Routine household income context
point,NEUTRAL_BENIGN,0,generic conversational filler
university,NEUTRAL_BENIGN,0,routine education reference
cell,NEUTRAL_BENIGN,0,routine phone or contact mention
greatly,NEUTRAL_BENIGN,0,generic intensifier prose
payment add,NEUTRAL_BENIGN,0,routine payment logistics phrasing
record,NEUTRAL_BENIGN,0,neutral reference to credit or work record
ask question,NEUTRAL_BENIGN,0,conversational lender interaction
previous,NEUTRAL_BENIGN,0,neutral temporal reference
room,NEUTRAL_BENIGN,0,routine housing or budget mention
consolidate high,DEBT_PRESSURE,1,consolidating high interest balances
exist,NEUTRAL_BENIGN,0,generic descriptive verb
hour,NEUTRAL_BENIGN,0,routine work hours reference
improve,NEUTRAL_BENIGN,0,positive forward-looking sentiment
outstanding,DEBT_PRESSURE,1,unpaid outstanding balances signal debt load
program,NEUTRAL_BENIGN,0,routine program or plan reference
unexpected,SHOCK_EMERGENCY,1,signals sudden exogenous financial event
answer question,NEUTRAL_BENIGN,0,conversational lender interaction
motorcycle,NEUTRAL_BENIGN,0,routine purchase item
professional,NEUTRAL_BENIGN,0,stable employment descriptor
replace,NEUTRAL_BENIGN,0,generic replacement mention
solid,NEUTRAL_BENIGN,0,positive stability sentiment
work year,NEUTRAL_BENIGN,0,stable employment tenure
current job,NEUTRAL_BENIGN,0,stable employment reference
experience,NEUTRAL_BENIGN,0,neutral background descriptor
longer,NEUTRAL_BENIGN,0,generic comparative term
seek,NEUTRAL_BENIGN,0,routine loan-seeking language
accumulate,DEBT_PRESSURE,1,accumulated balances signal mounting debt
gross,NEUTRAL_BENIGN,0,gross income reporting
look forward,NEUTRAL_BENIGN,0,positive forward sentiment
month pay,NEUTRAL_BENIGN,0,routine monthly payment logistics
summer,NEUTRAL_BENIGN,0,neutral seasonal reference
win,NEUTRAL_BENIGN,0,positive sentiment term
annual,NEUTRAL_BENIGN,0,routine annual income or rate reference
credit rat,NEUTRAL_BENIGN,0,neutral credit rating mention
finally,NEUTRAL_BENIGN,0,generic prose adverb
cable,NEUTRAL_BENIGN,0,routine household bill item
clear,NEUTRAL_BENIGN,0,generic intent to clear balance
debt credit,DEBT_PRESSURE,1,credit debt load reference
fact,NEUTRAL_BENIGN,0,generic prose filler
ahead,NEUTRAL_BENIGN,0,forward-looking neutral phrasing
approve,NEUTRAL_BENIGN,0,routine loan approval logistics
card add,DEBT_PRESSURE,1,credit card balances accumulating
debt add,DEBT_PRESSURE,1,added debt burden
department,NEUTRAL_BENIGN,0,routine workplace reference
fiance,NEUTRAL_BENIGN,0,planned life event reference
master,NEUTRAL_BENIGN,0,education degree reference
pay pay,NEUTRAL_BENIGN,0,routine repayment phrasing
add pay,NEUTRAL_BENIGN,0,routine payment logistics
america,NEUTRAL_BENIGN,0,neutral proper noun reference
average,NEUTRAL_BENIGN,0,generic statistical descriptor
big,NEUTRAL_BENIGN,0,generic descriptor without distress signal
car insurance,NEUTRAL_BENIGN,0,routine recurring expense mention
easier,NEUTRAL_BENIGN,0,positive sentiment word
incur,NEUTRAL_BENIGN,0,generic verb lacking context
limit,DEBT_PRESSURE,1,often references credit limit strain
repayment,NEUTRAL_BENIGN,0,routine loan logistics term
stand,NEUTRAL_BENIGN,0,conversational prose verb
dream,NEUTRAL_BENIGN,0,aspirational planned life event
government,NEUTRAL_BENIGN,0,neutral institutional reference
money use,NEUTRAL_BENIGN,0,describes intended fund usage
reliable,NEUTRAL_BENIGN,0,positive borrower attribute
review,NEUTRAL_BENIGN,0,routine application process term
send,NEUTRAL_BENIGN,0,routine logistics verb
wait,NEUTRAL_BENIGN,0,conversational timing word
year work,NEUTRAL_BENIGN,0,stable employment tenure
add add,NEUTRAL_BENIGN,0,artifact token no distress meaning
discover,NEUTRAL_BENIGN,0,likely card brand or neutral verb
easily,NEUTRAL_BENIGN,0,positive confidence sentiment
engineer,NEUTRAL_BENIGN,0,stable occupation mention
pay balance,DEBT_PRESSURE,1,outstanding revolving balance payoff
pay card,DEBT_PRESSURE,1,credit card debt repayment focus
didn,NEUTRAL_BENIGN,0,truncated conversational token
firm,NEUTRAL_BENIGN,0,employer reference
important,NEUTRAL_BENIGN,0,generic emphasis word
let know,NEUTRAL_BENIGN,0,conversational lender communication
meet,NEUTRAL_BENIGN,0,generic verb
pay add,NEUTRAL_BENIGN,0,fragmented payment phrase
pay early,NEUTRAL_BENIGN,0,positive prepayment intent
add plan,NEUTRAL_BENIGN,0,planning language neutral
deal,NEUTRAL_BENIGN,0,generic transaction term
free year,NEUTRAL_BENIGN,0,promotional rate or debt-free aspiration
fund consolidate,DEBT_PRESSURE,1,consolidating multiple debt obligations
health,SHOCK_EMERGENCY,1,medical situation driving borrowing
promotion,NEUTRAL_BENIGN,0,positive career advancement
result,NEUTRAL_BENIGN,0,generic prose noun
debt year,DEBT_PRESSURE,1,prolonged debt burden reference
kitchen,NEUTRAL_BENIGN,0,planned home improvement project
steady job,NEUTRAL_BENIGN,0,stable employment signal
verify,NEUTRAL_BENIGN,0,routine verification logistics
area,NEUTRAL_BENIGN,0,geographic filler word
available,NEUTRAL_BENIGN,0,neutral availability descriptor
debt lower,DEBT_PRESSURE,1,seeking reduced debt burden
live expense,LIQUIDITY_SHORTAGE,1,covering basic living costs
nurse,NEUTRAL_BENIGN,0,stable occupation mention
payment history,NEUTRAL_BENIGN,0,routine credit record reference
real,NEUTRAL_BENIGN,0,generic emphasis adjective
secure job,NEUTRAL_BENIGN,0,stable employment signal
teacher,NEUTRAL_BENIGN,0,stable occupation mention
water,NEUTRAL_BENIGN,0,utility or repair context neutral
work company,NEUTRAL_BENIGN,0,employment description
allow pay,NEUTRAL_BENIGN,0,routine affordability phrasing
assistance,NEUTRAL_BENIGN,0,generic request for help
cell phone,NEUTRAL_BENIGN,0,routine expense item
contact,NEUTRAL_BENIGN,0,conversational logistics
law,NEUTRAL_BENIGN,0,generic noun without distress signal
mother,NEUTRAL_BENIGN,0,family reference neutral
application,NEUTRAL_BENIGN,0,loan process logistics
different,NEUTRAL_BENIGN,0,general prose filler
divorce,SHOCK_EMERGENCY,1,unexpected life disruption straining finances
higher rate,DEBT_PRESSURE,1,mounting interest cost signal
purchase home,NEUTRAL_BENIGN,0,planned life event
turn,NEUTRAL_BENIGN,0,generic verb
worth,NEUTRAL_BENIGN,0,general valuation prose
assist,NEUTRAL_BENIGN,0,generic help language
bank america,NEUTRAL_BENIGN,0,named lender routine mention
debt payment,DEBT_PRESSURE,1,ongoing debt obligation burden
happen,NEUTRAL_BENIGN,0,generic verb
job secure,NEUTRAL_BENIGN,0,stable employment signal
month credit,DEBT_PRESSURE,1,monthly credit obligation reference
office,NEUTRAL_BENIGN,0,workplace reference neutral
promote,NEUTRAL_BENIGN,0,positive career progression
quicker,NEUTRAL_BENIGN,0,pace descriptor neutral
car pay,NEUTRAL_BENIGN,0,routine auto loan logistics
nearly,NEUTRAL_BENIGN,0,generic qualifier
pay higher,DEBT_PRESSURE,1,paying elevated interest burden
private,NEUTRAL_BENIGN,0,generic descriptor
schedule,NEUTRAL_BENIGN,0,routine planning term
union,NEUTRAL_BENIGN,0,credit union or labor reference
card use,DEBT_PRESSURE,1,credit card utilization signal
hospital,SHOCK_EMERGENCY,1,medical event driven expense
option,NEUTRAL_BENIGN,0,generic choice language
prior,NEUTRAL_BENIGN,0,temporal qualifier
apartment,NEUTRAL_BENIGN,0,routine housing reference
candidate,NEUTRAL_BENIGN,0,self-presentation as borrower
card high,DEBT_PRESSURE,1,high credit card balances or rates
card rat,DEBT_PRESSURE,1,credit card interest rate burden
delinquency,LIQUIDITY_SHORTAGE,1,past due payment status
fall,LIQUIDITY_SHORTAGE,1,falling behind on payments
father,NEUTRAL_BENIGN,0,family reference neutral
friend,NEUTRAL_BENIGN,0,social reference neutral
greatly appreciate,NEUTRAL_BENIGN,0,polite positive sentiment
kid,NEUTRAL_BENIGN,0,household family reference
local,NEUTRAL_BENIGN,0,geographic descriptor
payment year,NEUTRAL_BENIGN,0,routine payment timeline
rate pay,DEBT_PRESSURE,1,interest rate payment burden
tuition,NEUTRAL_BENIGN,0,planned education expense
american,NEUTRAL_BENIGN,0,generic descriptor
